Abbreviation,Name
AEC,PowerSouth Energy Cooperative
AECI,"Associated Electric Cooperative, Inc."
CPLE,Duke Energy Progress East
DUK,Duke Energy Carolinas
FMPP,Florida Municipal Power Pool
FPC,"Duke Energy Florida, Inc."
FPL,Florida Power & Light Co.
GVL,Gainesville Regional Utilities
HST,City of Homestead
ISNE,ISO New England
JEA,JEA
LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company
MISO,"Midcontinent Independent System Operator, Inc."
NSB,Utilities Commission of New Smyrna Beach
NYIS,New York Independent System Operator
PJM,"PJM Interconnection, LLC"
SC,South Carolina Public Service Authority
SCEG,"Dominion Energy South Carolina, Inc."
SEC,Seminole Electric Cooperative
SOCO,"Southern Company Services, Inc. - Trans"
SPA,Southwestern Power Administration
SWPP,Southwest Power Pool
TAL,City of Tallahassee
TEC,Tampa Electric Company
TVA,Tennessee Valley Authority
